"id","nome","comune","indirizzo","tipologia","stelle","sito","telefono","email","piscina","ac","parcheggio","ristorante","animali","parcogiochi","sauna","palestra","lat","lon","provincia"
1140,"POGGIO AL LAGO","ARCUGNANO","Via Chiesa Vecchia 15, ARCUGNANO 36057","BED AND BREAKFAST",0,"www.poggioallago.net","0444273030 - 3488106849","info@poggioallago.net",True,True,True,False,False,False,False,False,"45.4712067","11.5522259","Vicenza"
1141,"CA DEL VENTO","ARCUGNANO","Via Costacolonna 59, ARCUGNANO 36057","BED AND BREAKFAST",0,"www.cadelventoitaly.com","0444533618 - 3381392316","cadelvento@hotmail.com",True,False,True,False,True,False,False,False,"45.5079282","11.5489551","Vicenza"
1147,"B&B AL BUCANEVE - ASIAGO","ASIAGO","Via Brigata Piemonte 46, ASIAGO 36012","BED AND BREAKFAST",0,"www.bebasiago.wordpress.com","3282845249 - 3288457952 - 042464287","albucaneveasiago@hotmail.it",True,False,True,False,False,False,False,False,"45.873189","11.5018338","Vicenza"
1149,"VILLA TRAMONTI","BASSANO DEL GRAPPA","Via San Francesco 5, BASSANO DEL GRAPPA 36061","BED AND BREAKFAST",0,"www.villa-tramonti.com","0424525001 - 3287141329","info@villa-tramonti.com",True,False,True,False,True,False,False,False,"45.7733637","11.7387518","Vicenza"
1152,"DOWNTOWN B&B","BASSANO DEL GRAPPA","Vicolo Menarola 15, BASSANO DEL GRAPPA 36061","BED AND BREAKFAST",0,"","0424521885","downtownbb@tiscali.it",True,False,False,False,False,True,False,False,"45.7675044","11.7328491","Vicenza"
1156,"BASSIANO BED AND BREAKFAST","BASSANO DEL GRAPPA","Via Motton 101, BASSANO DEL GRAPPA 36061","BED AND BREAKFAST",0,"","042434098 - 3394524447","bassianobb@libero.it",True,False,True,False,True,True,False,False,"45.7883187","11.7327003","Vicenza"
1165,"B&B SINBALLO","CAMISANO VICENTINO","Via Bosco di Sopra 4, CAMISANO VICENTINO 36043","BED AND BREAKFAST",0,"www.sinballo.com","0444719045","info@sinballo.com",True,False,True,False,False,True,False,False,"45.5390799","11.675235","Vicenza"
1173,"B&B PARAISO","CREAZZO","Via Paraiso 7, CREAZZO 36051","BED AND BREAKFAST",0,"www.bbparaiso.it","0444522346","bb.paraiso@libero.it",True,True,True,False,False,False,False,False,"45.5405419","11.463962","Vicenza"
1175,"KEMPLEN","GALLIO","Via Kemplen 2, GALLIO 36032","BED AND BREAKFAST",0,"","0424463125","vittorio.stella@ntrnet.it",True,False,True,False,False,False,False,False,"45.8701753","11.5483012","Vicenza"
1179,"BEDNROSES","ISOLA VICENTINA","Via Valdissera 96, ISOLA VICENTINA 36033","BED AND BREAKFAST",0,"","0444975190 - 3295662445","inisfri@alice.it",True,False,True,False,True,False,False,False,"45.6250433","11.4289606","Vicenza"
1186,"LA MANDRUNA","LUSIANA","Via Sciessere 57, LUSIANA 36046","BED AND BREAKFAST",0,"web.tiscali.it/lamandruna","0424406064","roomserviceronzani@libero.it",True,False,True,False,False,True,False,False,"45.7837506","11.5715672","Vicenza"
1194,"B&B IN COLLINA","MAROSTICA","Via Val Bella Alta 15, MAROSTICA 36063","BED AND BREAKFAST",0,"www.locandavalbella.it","0424780377","info@locandavalbella.it",True,False,True,False,True,False,False,False,"45.766992","11.6432871","Vicenza"
1203,"AI TRE ARCHI","NOVE","Via Venere 11, NOVE 36055","BED AND BREAKFAST",0,"aitrearchi@blogspot.com","0424780619 - 0424828368 - 3471013826","aitrearchi@gmail.com",True,False,True,False,False,True,False,False,"45.7282234","11.6821049","Vicenza"
1204,"IL GERANIO","PIANEZZE","Via Oldelle 4/a, PIANEZZE 36060","BED AND BREAKFAST",0,"www.ilgeranio.it","0424781119-3387527548","info@ilgeranio.it",True,False,False,False,True,False,False,False,"45.741381","11.6330033","Vicenza"
1205,"VILLA DEL SOLE","PIANEZZE","Via XXV Aprile 20, PIANEZZE 36060","BED AND BREAKFAST",0,"www.villadelsole.net","3493561747","bordignon.prisca@villadelsole.net",True,True,True,False,False,True,False,False,"45.7400978","11.6381832","Vicenza"
1211,"B&B VILLA GHISELLI","POVE DEL GRAPPA","Via degli Ulivi 1, POVE DEL GRAPPA 36020","BED AND BREAKFAST",0,"www.ghiselli.net","042480519 - 3396380884","bedandbreakfast@ghiselli.net",True,False,True,False,False,False,False,False,"45.8029266","11.7307672","Vicenza"
1218,"LA VETTA","ROANA","Via Trieste 49, ROANA 36010","BED AND BREAKFAST",0,"www.bbasiago.it","3391249770","info@bbasiago.it",True,False,False,False,False,False,False,False,"45.8801479","11.4869462","Vicenza"
1220,"B&B LE STRIE","ROANA","Via Sculazzon 12, ROANA 36010","BED AND BREAKFAST",0,"","3475019702","",True,False,True,False,False,False,False,False,"45.8429225","11.4275489","Vicenza"
1222,"LE FATE CORBEZZOLE","ROMANO DEZZELINO","Via Marze 18/a, ROMANO DEZZELINO 36060","BED AND BREAKFAST",0,"www.corbezzole.it","3486940158","info@corbezzole.it",True,True,True,False,True,False,False,False,"45.7688807","11.7753584","Vicenza"
1223,"LIONS","PIOVENE ROCCHETTE","Via Papa Giovanni XXIII 2, PIOVENE ROCCHETTE 36013","BED AND BREAKFAST",0,"","0445650021","650021@gmail.com",True,False,True,False,False,False,False,False,"45.7597481","11.4365229","Vicenza"
1226,"BED AND BREAKFAST ROTZO","ROTZO","Via Capovilla 30, ROTZO 36010","BED AND BREAKFAST",0,"www.bedbreakfast-rotzo.com","0424691169","info@bedbreakfast-rotzo.com",True,False,True,False,True,True,False,False,"45.861644","11.3948529","Vicenza"
1227,"CASA VENETA","SANDRIGO","Via Europa 2, SANDRIGO 36066","BED AND BREAKFAST",0,"","0444659252 - 3283363994","apozzato@libero.it",True,False,True,False,False,False,False,False,"45.6512945","11.5989467","Vicenza"
