"PROVINCIA","COMUNE","LOCALITA","TIPOLOGIA","TIPOLOGIA SECONDARIA" ,"DENOMINAZIONE","INDIRIZZO","NUMERO CIVICO","INTERNO","CAP","TELEFONO","FAX","EMAIL","SITO WEB","ZONA" ,"PISCINA","PISCINA COPERTA","RISTORANTE","PARCHEGGIO","SALA CONFERENZE","ARIA CONDIZIONATA","GIOCHI BIMBI","SAUNA","SOLARIUM","FITNESS","ANIMALI AMMESSI","CENTRO STORICO","ZONA FIERA","LAGO","AEROPORTO","AUTOSTRADA","IMPIANTI RISALITA","STAZIONE FS","MARE","TERMALE","PERIFERIA","COLLINARE","INGLESE","FRANCESE","TEDESCO","SPAGNOLO","CHIUSURA TEMPORANEA" ,"CODICE IDENTIFICATIVO","DATA ULTIMA MODIFICA","CLASSIFICAZIONE"
"BELLUNO","AGORDO","","AGRITURISMO","","CASA BIANCA DI CHIERZI SANTINA","Via Nagol","24","","32021","0437640128 - 3385414758 - 3200423177","","stefano.tome@libero.it","","dolomiti","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso",44981,"01/03/2021",""
"BELLUNO","AGORDO","","ALBERGO","Albergo","ERICE","Via IV Novembre 1918","13/B","","32021","043762307","","info@hotelerice.it","www.hotelerice.it","dolomiti","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso",3886,"02/02/2021","3 ***"
"BELLUNO","AGORDO","","ALBERGO","Albergo","PENSIONE DUE ANGELI","Via Carrera","4","","32021","043762049","043762049","pendueangeli@live.it","www.albergodueangeli.it","dolomiti","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso",3888,"07/09/2020","1 *"
"BELLUNO","AGORDO","","ALBERGO","Albergo","VILLA IMPERINA","Via Pragrande","5","","32021","043762046","0437640306","info@villaimperina.it","www.villaimperina.it","dolomiti","Falso","Falso","Vero","Vero","Falso","Falso","Vero","Vero","Falso","Vero","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Vero","Vero","Falso",3885,"25/06/2020","3 ***"
"BELLUNO","AGORDO","","BED AND BREAKFAST","","B&B VILLA BELVEDERE","via Belvedere","1","","32021","+39 349 097 0603","","info@villabelvedereagordo.it","www.villabelvedereagordo.it","dolomiti","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso",289884,"29/10/2020","4 Leoni"
"BELLUNO","AGORDO","","BED AND BREAKFAST","","BED & BREAKFAST SOL FIORI'","Via Campo dei Fiori","11","","32021","+39 340 627 3085","","bbsolfiorì@libero.it","https://www.bbdolomiti.it/index.html","dolomiti","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso",1287,"11/09/2020","2 Leoni"
"BELLUNO","AGORDO","","BED AND BREAKFAST","","EDEN B&B","VIA PRAGRANDE","42","","32021","+39 334 3738 909","","info@edenbb.it","www.edenbb.it","dolomiti","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Falso","Falso",55981,"28/05/2020","2 Leoni"
"BELLUNO","AGORDO","","BED AND BREAKFAST","","MONTAGNA ANTICA","VICOLO SAN PIETRO","2","","32021","043763476 - 3476845519","","info@montagnaantica.it","www.montagnaantica.it","dolomiti","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso",51905,"28/05/2020","3 Leoni"
"BELLUNO","AGORDO","","BED AND BREAKFAST","","RAFFAELLA","Via IV Novembre","11/C","","32021","+39 (0)437 63068- +39 349 664 8112","","bb.raffaellaselva@gmail.com","","dolomiti","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso",1286,"11/06/2021","2 Leoni"
"BELLUNO","AGORDO","","RIFUGIO","Rifugio alpino","BRUTO CARESTIATO","Località Col dei Pass","","","32021","0039(0)43762949","0039(0)43762949","info@rifugiocarestiato.com","www.rifugiocarestiato.com","dolomiti","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso",190,"29/10/2020",""
